event_date,event_type,description,source
2022-02-21,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2023-05-21,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2023-08-14,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2023-11-12,eruzione_sommitale,Episodio parossistico/fontana di lava dal Cratere di Sud-Est,GuideVulcanologicheEtna
2024-07-04,eruzione_sommitale,Parossismo con fontana di lava alla Voragine (prima di sei episodi tra 4/07 e 15/08/2024),INGV_OE
2024-07-23,eruzione_sommitale,"Parossismo alla Voragine, tracimazione lavica dal bordo ovest della Bocca Nuova, nube di cenere ~8 km",INGV_OE
2024-08-05,eruzione_sommitale,"Fontana di lava alla Voragine, la piu potente della serie 2024",GuideVulcanologicheEtna
2024-08-14,eruzione_sommitale,Fontana di lava alla Bocca Nuova con colate oltre il bordo ovest (prosegue il 15/08),INGV_OE
2025-02-08,eruzione_laterale,"Eruzione sub-terminale: frattura dal bordo ovest del Cratere di Sud-Est alla base sud della Bocca Nuova, colata verso SW oltre 4 km; cessata il 16/03/2025",INGV_OE
2025-08-14,eruzione_laterale,Eruzione sub-terminale con nuovo flusso lavico,INGV_OE
2026-06-22,eruzione_laterale,"Sistema di fratture alla base NE della Voragine, colata da bocca a ~3030 m (fino al 4/07/2026)",INGV_OE
2026-07-05,eruzione_sommitale,"Attivita esplosiva continua alla Voragine con fessura verso il Cratere di Nord-Est, nube ~4.5 km, chiusura aeroporto di Catania (fino al 7/07)",INGV_OE
2026-07-30,eruzione_sommitale,"Episodio alla Voragine: fase stromboliana poi colonna eruttiva di 7 km, colata verso est (fino al 2/08)",INGV_OE
