modello,algoritmo,n,positivi,AUC,AP,AP_baseline,AUC_null_media,p_perm
A: 24h (tutti gli episodi),logistica,356,71,0.7659995058067705,0.6562180662362638,0.199438202247191,0.7777471377975455,0.9102990033222591
A: 24h (tutti gli episodi),random_forest,356,71,0.5950580677044724,0.24589017739747882,0.199438202247191,0.5973204019438266,0.6212624584717608
B: 7gg prima di inizio fase,logistica,630,105,0.5045986394557822,0.17947738066077712,0.16666666666666666,0.525065336356765,0.9269102990033222
B: 7gg prima di inizio fase,random_forest,630,105,0.3714467120181406,0.12753548034302403,0.16666666666666666,0.3828373998488284,0.7973421926910299
